segment_type,segment_value,[level],[users initials as resources],[users success as result],infrastructure_avg,efficiency,return_per_resource,[_waste_per_user],efficiency_delta,avg_efficiency_level,avg_return_per_resource,avg_waste_per_user,avg_efficiency_delta,infrastructure_median,infrastructure_stdev,infrastructure_skewness
category_3,2024-01,1,258523,190372,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0
category_3,2024-01,2,190372,167893,10.86,354.544,812,244148.0,,326.354,701,256796.45,,9.0,6.15,2.1
category_3,2024-01,3,167893,139485,35.41,9.6308,235,1005965.0,-7.284,8.9677,204,1177838.7,-7.242,33.0,14.33,1.59
category_3,2024-01,4,139485,11433,556.76,551,1,71.294.837,-9.943,502,1,75177474.27,-9.948,493.0,284.95,1.74
category_3,2024-01,5,11433,,673.42,,,,,,,,,616.0,288.87,1.51
category_3,2024-02,1,241686,178071,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0
category_3,2024-02,2,178071,157011,10.96,340.392,805,230742.0,,326.354,701,256796.45,,9.0,6.23,02.08
category_3,2024-02,3,157011,130119,35.52,9.2518,233,955089.0,-7.282,1.8,204,1177838.7,-7.242,33.0,14.25,1.53
category_3,2024-02,4,130119,10628,556.91,53,1,66.545.207,-9.943,502,1,75177474.27,-9.948,494.0,285.38,1.81
category_3,2024-02,5,10628,,677.0,,,,,,,,,617.0,292.2,1.59
category_3,2024-03,1,257926,190122,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0
category_3,2024-03,2,190122,168052,10.91,353.204,81,240843.0,,326.354,701,256796.45,,9.0,6.12,02.07
category_3,2024-03,3,168052,139384,35.5,9.6002,234,1017665.0,-7.282,8.9677,204,1177838.7,-7.242,33.0,14.18,1.5
category_3,2024-03,4,139384,11682,556.4,563,2,71.052.757,-9.941,502,1,75177474.27,-9.948,492.0,284.97,1.8
category_3,2024-03,5,11682,,675.71,,,,,,,,,614.0,295.04,1.7
category_3,2024-04,1,241865,178227,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0
category_3,2024-04,2,178227,157301,10.79,345.364,818,225854.0,,326.354,701,256796.45,,9.0,06.05,1.93
category_3,2024-04,3,157301,130485,35.33,9.3266,235,947410.0,-7.299,1.8,204,1177838.7,-7.242,33.0,14.03,1.49
category_3,2024-04,4,130485,10551,556.62,525,1,66.757.938,-9.944,502,1,75177474.27,-9.948,493.0,285.57,1.79
category_3,2024-04,5,10551,,674.35,,,,,,,,,614.0,291.19,1.72
funnel_category,activity,1,350535,245036,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0
funnel_category,activity,2,245036,215399,8.0,544.171,1.099,236994.0,,326.354,701,256796.45,,7.0,3.79,1.78
funnel_category,activity,3,215399,178748,32.12,11.9929,258,1177297.0,-7.796,8.9677,204,1177838.7,-7.242,29.0,13.02,1.62
funnel_category,activity,4,178748,15957,483.2,783,2,78.660.503,-9.935,502,1,75177474.27,-9.948,431.0,239.83,1.74
funnel_category,activity,5,15957,,593.9,,,,,,,,,546.0,246.28,1.61
funnel_category,fasting,1,549370,411765,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0
funnel_category,fasting,2,411765,370655,11.02,524.919,817,452863.0,,326.354,701,256796.45,,10.0,5.37,1.73
funnel_category,fasting,3,370655,296522,37.08,131.528,216,2748832.0,-7.494,8.9677,204,1177838.7,-7.242,34.0,14.47,1.51
funnel_category,fasting,4,296522,23902,587.68,748,1,160.213.321,-9.943,502,1,75177474.27,-9.948,523.0,293.38,1.73
funnel_category,fasting,5,23902,,708.6,,,,,,,,,647.0,299.05,1.57
funnel_category,yoga,1,100095,79991,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0
funnel_category,yoga,2,79991,64203,15.94,14.279,503,251730.0,,326.354,701,256796.45,,14.0,7.96,1.73
funnel_category,yoga,4,64203,4435,615.33,285,1,36776915,-998,502,1,75177474.27,-9.948,545.0,319.61,1.81
funnel_category,yoga,5,4435,,786.74,,,,,,,,,723.0,329.08,1.71
z_segmentation,avg,2,563771,497068,9.6,690.477,919,640252.0,,326.354,701,256796.45,,9.0,3.63,01.02
z_segmentation,avg,3,497068,413153,33.1,177.056,251,2777478.0,-7.436,8.9677,204,1177838.7,-7.242,32.0,7.78,0.35
z_segmentation,avg,4,413153,33476,505.05,1.032,2,191.756.820,-9.942,502,1,75177474.27,-9.948,483.0,154.17,0.5
z_segmentation,avg,5,33476,,627.79,,,,,,,,,607.0,160.7,0.49
z_segmentation,no classified,1,263208,,0.0,,,,,,,0.0,,0.0,0.0,0.0
z_segmentation,outlier,2,9534,8312,30.4,2.8191,287,37145.0,,326.354,701,256796.45,,28.0,8.57,0.95
z_segmentation,outlier,3,8312,6963,86.68,8.828,97,116929.0,-6.869,8.9677,204,1177838.7,-7.242,86.0,8.95,0.45
z_segmentation,outlier,4,6963,581,1583.17,44,1,10.103.791,-995,502,1,75177474.27,-9.948,1574.0,214.94,0.24
z_segmentation,outlier,5,581,,1715.25,,,,,,,,,1702.0,231.79,0.51
z_segmentation,outlier Extreme,2,1629,1409,42.88,8.214,202,9434.0,,326.354,701,256796.45,,40.0,12.01,01.05
z_segmentation,outlier Extreme,3,1409,1193,120.08,2.685,71,25937.0,-6.731,01.08,204,1177838.7,-7.242,117.0,16.81,1.22
z_segmentation,outlier Extreme,4,1193,88,2282.07,11,0.0,2521687.0,-9.959,502,1,75177474.27,-9.948,2221.0,412.06,2.1
z_segmentation,outlier Extreme,5,88,,2363.17,,,,,,,,,2303.0,399.44,0.92
z_segmentation,unusual,2,161858,143468,13.85,257.624,64,254756.0,,326.354,701,256796.45,,15.0,8.4,0.32
z_segmentation,unusual,3,143468,118164,39.75,7.8646,207,1005785.0,-6.947,8.9677,204,1177838.7,-7.242,48.0,20.92,0.07
z_segmentation,unusual,4,118164,10149,659.8,448,1,71.268.441,-9.943,502,1,75177474.27,-9.948,782.0,414.95,0.1
z_segmentation,unusual,5,10149,,756.98,,,,,,,,,865.0,425.92,0.18
unusual,5,10149.0,,756.0,,,,,865.0,425.92,0.19,,,,,
